ornament,voice,bar,pitch
R 0 S 2 S 1 S,1,26 5/8,62
R 0 S 2 S 1 S 2 E.,0,26 13/16,67
R 0 S,4,27 3/16,55
S -1 S -2 S -2 S 2 E,4,27 5/16,52
E -2 E,4,27 5/8,48
E -2 E,4,28 1/8,46
E 0 E,2,28 3/8,48
E -5 E 1 E 4 E 2 E.,2,28 5/8,45
E. -4 S,2,29 3/16,48
S -2 S 2 S 2 S 1 Q,2,29 5/16,48
E. -2 S,0,30 3/16,70
E 3 E,0,30 3/8,70
E -1 S 1 S 2 S -2 S -1 S -2 S 2 Q,1,30 5/8,64
E. 7 S -2 S -2 S 2 T -2 T -1 T -2 T -2 E,3,31 11/16,62
E -1 S 1 S 2 S,3,32 1/8,52
R 0 S -1 S -2 S -2 Q,4,32 5/16,53
E 1 S 2 S -2 E.,4,32 7/8,46
E. -2 S -3 S 2 S 1 S 2 S 2 E,3,33 3/16,53
E -2 S 2 S 2 S,1,33 5/8,58
R 0 S -2 S -1 S 1 E,2,33 13/16,60
E 2 T -2 T -1 T 1 T -1 E,2,34 1/8,60
S -2 S,2,34 11/16,53
S 2 S,2,34 13/16,57
S 2 S,2,34 15/16,55
E -12 S 2 S 2 S 1 S 2 S 2 S 1 E,0,35 1/8,60
E -1 S -2 S 2 E,0,35 5/8,69
E -2 S 2 S 0 E,0,35 7/8,67
S 2 S,0,36 3/16,69
S -1 S,0,36 5/16,69
T -1 T 1 T -3 T 2 Q,0,36 13/32,69
Q 0 S 2 S 1 S 2 S -2 E,2,36 3/4,57
R 0 S 2 S 1 S 2 S 2 S 1 S 2 Q,0,37 1/8,62
E. -2 S,0,38 3/16,70
S -2 S -1 S -2 S 2 E.,0,38 5/16,70
E. 10 S,2,38 11/16,67
R 0 E,0,38 7/8,69
R 0 E,2,39 5/8,64
E -2 E,2,40 1/8,57
S 2 S -2 E 2 E,4,41 1/16,55
E -2 E,4,41 3/8,53
E 1 E,1,41 5/8,62
E -1 E,1,41 7/8,61
E 2 E,0,42 1/8,67
Q -7 E,0,42 1/2,62
E 4 E -2 S -2 S -1 S -2 S 2 Q,0,43 1/8,69
E -1 E,3,44 1/8,57
E -2 S 2 S 0 E,2,44 3/8,50
S -2 S,3,44 11/16,53
S 2 S,3,44 15/16,55
S -1 S 1 T -1 T 1 T 2 T -2 E,3,46 1/16,57
R 0 E,4,46 5/8,50
R 0 E,1,46 7/8,67
R 0 E,1,47 3/8,64
R 0 E,0,47 5/8,60
S 2 S 1 S 2 S -2 E,0,47 13/16,59
E -1 S 1 S 2 S -2 S -1 S -2 S 2 Q,0,48 1/8,59
E 2 S -2 S -1 E,1,49 1/8,67
E -2 S 2 S 1 S,1,49 3/8,62
S 2 S 2 E -2 S -2 S -1 S -2 S 2 Q,1,49 9/16,67
R 0 S 2 S 1 S 2 S -2 E.,0,50 1/4,57
E. 2 S -2 S 2 S 2 S -4 S 2 Q,0,50 11/16,62
E. -2 S 2 S -2 S -2 S -1 S -2 E.,0,51 11/16,62
E. 2 S,4,52 3/16,52
E -7 E 2 E 2 E 5 E.,3,52 5/8,48
R 0 S -2 S 2 S 1 S 2 S -2 E,2,53 3/16,59
R 0 S -2 S -1 E,0,53 5/8,62
E -2 S 2 S 1 E,2,54 3/8,62
R 0 E,0,54 5/8,67
E. 4 S -2 S -2 S -1 S,0,55 11/16,69
S -2 S,0,55 15/16,62
E 1 E,2,56 7/8,65
E. -1 S,2,57 11/16,61
S -1 S -2 S 2 S 1 Q,2,57 13/16,61
E 1 E,2,58 7/8,65
E -1 S -2 S 2 S,2,59 5/8,61
S 1 S -3 S 2 S 1 Q,2,59 13/16,62
E -12 S 2 S 1 S 2 S 2 S 2 S 1 E,0,60 5/8,62
E 1 E -1 E -2 E,2,61 1/8,65
E -2 E,4,62 5/8,48
