ornament,voice,bar,pitch
E -2 S -1 S -2 S 2 S 1 S 2 S 2 Q,1,58 1/8,58
R 0 S,1,59 5/16,58
S -2 S,1,59 7/16,55
E. -2 S -2 S 2 S 2 S,0,61 3/16,67
S 1 S,0,61 7/16,70
E -2 E,4,63 1/8,48
S -2 S 2 S 2 S 1 E.,4,63 5/16,48
E. 4 S,4,63 11/16,57
S -2 S -1 S -2 S -2 E,4,63 13/16,53
E -7 S 2 S 1 S 2 S 2 S 1 S -1 Q,2,64 1/8,57
E -2 S 2 S 2 E,3,64 7/8,53
E 2 E,4,65 1/8,55
E 1 S 2 S 2 E,4,65 5/8,53
E -3 S 2 S 1 E 0 E,3,65 7/8,57
R 0 E,2,66 7/8,60
E -1 E,0,67 5/8,69
R 0 E,0,68 1/8,69
E -2 S 2 S 1 S,0,68 5/8,67
S -1 S 1 T -1 T 1 T -3 T 2 Q,0,68 13/16,69
E -2 S -1 S 1 S,1,70 1/8,65
S -1 S,1,70 5/16,64
S -2 S,1,70 7/16,60
E 1 E,0,70 5/8,72
E -1 E,0,70 7/8,71
E -1 S -2 S -2 S,0,71 5/8,71
R 0 S -1 S -2 S -2 E.,1,71 13/16,65
E. 2 S,1,72 3/16,62
R 0 S 2 S 1 S 2 S,2,72 5/16,62
S -2 S -1 S -2 S 2 E,2,72 9/16,65
E -2 E,4,73 3/8,48
E. -2 S,1,73 11/16,55
S -2 S -2 S 2 S 2 Q,1,73 13/16,55
E 1 E,4,74 7/8,46
E -1 S -2 S 2 S,0,75 1/8,71
R 0 S,1,75 5/16,69
S -2 S,1,75 7/16,65
E -1 E,4,75 7/8,45
E 0 E,0,76 1/8,67
E 0 E,1,76 5/8,62
S 2 S 1 S 2 S -2 Q,1,76 13/16,64
E 2 E,1,77 7/8,64
S -2 S,1,78 7/16,62
E. 2 S,2,78 11/16,59
R 0 S 1 S 2 S 2 S,1,78 13/16,59
S 3 S -2 S -1 S 1 S,1,79 1/16,67
R 0 S -2 S -2 S 0 E,3,79 5/16,64
E -1 S -2 S 3 S,3,79 5/8,59
S -1 S 1 T -1 T -2 T 2 T 1 Q,3,79 13/16,59
R 0 S,2,80 13/16,59
R 0 S,3,80 15/16,62
E -3 S 2 S 1 E,0,82 5/8,67
R 0 S -2 S -1 S,2,84 5/8,67
S 1 S,2,84 13/16,65
R 0 S,0,84 15/16,69
E -2 S 2 S 2 E,0,86 5/8,72
E 1 E,0,86 7/8,77
R 0 S,2,87 11/16,69
E -5 S 2 S 2 S 1 S 2 S,2,88 1/8,62
R 0 S,0,88 7/16,71
E. 1 S 2 S -2 S -1 S -2 S 2 W,1,88 11/16,65
