ornament,voice,bar,pitch
R 0 E,0,22 5/8,67
Q 0 S -1 S 1 S,2,23 1/4,58
S 2 S,2,23 7/16,60
T -1 T -2 T 2 T 1 T,0,24 9/32,64
T 2 T 2 T 1 T -1 S,0,24 13/32,67
S -2 S,0,24 9/16,67
S 1 S,0,24 11/16,70
E -3 E,0,25 1/8,67
S -2 S -1 S 1 S 2 S,0,25 5/16,67
R 0 S -1 S -2 S 3 S,1,25 9/16,67
S -1 S 1 T -1 T -2 T 2 T 1 E,1,25 13/16,66
R 0 S 2 T -2 T -1 T -2 T 2 E,1,26 13/16,58
R 0 S -1 S -2 S 2 S,1,27 9/16,67
S 1 S -3 S 2 S 1 Q,1,27 13/16,67
Q 0 E,3,28 1/4,55
S -2 S,3,28 9/16,53
S 2 S,3,28 11/16,57
R 0 S 1 S 2 S -2 Q,1,28 13/16,57
R 0 E,0,29 7/8,67
R 0 S 1 S 2 S -2 E,1,30 1/16,64
R 0 E,1,30 5/8,65
S 2 S,0,32 11/16,69
S -1 S,0,32 13/16,69
S 2 S,0,32 15/16,69
S -2 S,3,33 1/16,53
R 0 S,1,33 3/16,57
S -1 S,1,33 5/16,57
S 2 S,1,33 7/16,60
S -2 S,1,33 9/16,60
S 2 S,1,33 11/16,64
S -1 S -2 S 2 S -2 Q,0,33 13/16,69
R 0 E,0,34 3/8,65
R 0 S -1 S -2 S 3 S,1,34 9/16,62
S -1 S -2 S 2 S 1 Q,1,34 13/16,61
R 0 S,2,35 5/16,57
R 0 S,1,35 7/16,60
S -2 S,1,35 9/16,60
S 2 S,1,35 11/16,64
S -2 S -1 S 1 S 0 S,1,35 13/16,65
S -1 S -2 S 2 S 0 S,1,36 1/16,64
S 9 S -1 S 1 S -10 S,2,36 5/16,62
R 0 S -1 S -2 S 3 S,1,36 9/16,62
S -1 S -2 S 2 S 1 Q,1,36 13/16,61
S -2 S 2 T -2 T -1 T -2 T 2 Q,3,37 13/16,58
R 0 S,1,38 13/16,58
R 0 T -1 T -2 T -2 E.,3,38 29/32,58
R 0 S -2 S -2 S -2 T,0,39 3/16,64
R 0 T 2 T 2 T 1 Q,1,39 13/32,60
S -2 S,3,39 13/16,53
T -2 T -2 T -1 T -2 S,3,39 29/32,53
S -1 S -2 S 2 S 1 Q,1,40 1/16,64
R 0 E,1,40 5/8,65
S -2 S,3,41 5/16,53
S -1 S,3,41 7/16,50
E. -2 S -1 S -2 S 2 T 1 T 2 T 2 T 1 Q,0,41 11/16,65
S -2 S,0,42 13/16,70
T -2 T -1 T -2 T 3 S,0,42 29/32,70
S 9 S,1,43 1/16,69
R 0 S,0,43 3/16,69
R 0 E,0,43 5/8,70
E. -2 S,0,45 3/16,67
T -1 T -2 T 2 T 1 T 2 T 2 T 1 T 0 Q,0,45 9/32,64
R 0 S,1,45 13/16,58
R 0 T -1 T -2 T -2 Q,2,45 29/32,58
R 0 S 2 S 2 S 1 Q,0,46 5/16,65
S -2 S 2 S 2 S 1 S,1,46 13/16,60
S -1 S 1 S 2 S -2 E,1,47 1/16,64
S 2 S,2,47 9/16,60
S -1 S,2,47 11/16,57
S -2 S 2 S 2 S 1 S,0,47 13/16,65
R 0 S,2,48 1/16,57
R 0 S,1,48 3/16,60
T -2 T 2 T 2 T 1 T,1,48 9/32,60
T -1 T 1 T 2 T -2 Q,1,48 13/32,64
R 0 S 2 S 2 S,0,49 1/8,65
S -2 S -2 S 2 S 2 Q,0,49 5/16,67
E -2 E,0,50 7/8,70
R 0 S,1,52 11/16,67
R 0 S -2 T 2 T 2 T 1 T -1 Q,0,52 13/16,64
R 0 S -1 S -2 S 3 S,0,53 9/16,67
S -1 S -2 S 2 S 1 W,0,53 13/16,66
