ornament,voice,bar,pitch
E 4 E -2 S -2 S 2 T -2 T -1 T -2 T 2 Q,0,34 5/8,74
E. 2 S,3,35 11/16,52
S -2 S -1 T 1 T 2 T,1,36 5/16,58
T 2 T,1,36 15/32,62
S 2 S 1 S 2 S -2 E,1,36 13/16,57
E 2 S 2 S 1 T -1 T -2 T -2 T 2 T -2 T -1 T -2 T 2 Q,1,37 1/8,60
E 1 T -1 T -2 T 2 T 1 Q,0,38 1/8,70
E -1 E,2,38 5/8,57
E -1 S -2 S -2 S 2 S 2 S 1 S -1 E.,0,39 1/8,69
E. -2 S 2 S -2 S -2 S -1 S 1 E,1,39 11/16,60
E 1 T -1 T -2 T 2 T 1 E,3,40 1/8,51
E 2 E,3,40 3/8,53
E. -1 S,3,40 11/16,50
S 2 S,3,40 13/16,50
S 2 S,3,40 15/16,53
E -2 E -3 E 5 E 2 Q.,1,41 1/8,58
S -2 S,0,43 11/16,64
S -1 S,0,43 13/16,66
T -1 T -2 T 2 T 1 E,0,43 29/32,66
E 2 E,2,44 3/8,60
S -1 S -2 S 3 S -1 E,2,44 9/16,57
S 2 S -2 S -2 S 2 S,1,46 1/16,62
S -2 S,1,46 5/16,58
T -2 T -1 T -2 T 2 E,1,46 13/32,58
S -2 S,0,46 11/16,64
S -1 S,0,46 13/16,66
E. 5 S 2 S -2 S -2 S -1 S -2 Q,1,47 3/16,60
E 2 S 2 S -2 E,2,48 3/8,60
E 5 S -1 S -2 S -2 S -2 S -1 S 1 Q,2,48 5/8,65
E 1 T -1 T -2 T 2 T 1 E,0,49 7/8,65
E -1 S 1 S 2 Q,0,50 1/8,64
S 2 S 1 S 2 S -3 E.,0,51 1/16,64
E. -2 S,0,51 7/16,62
E 3 E,0,51 7/8,60
E 5 T -2 T -1 T 1 T -1 E,1,52 1/8,60
E -2 E,0,52 3/8,58
E 1 S 2 S 2 E,0,52 5/8,58
E -2 S 2 S -2 Q,0,52 7/8,60
E 2 S 2 S 1 E,1,54 1/8,62
E 1 E,0,54 7/8,70
E -1 S -2 S 2 E,0,55 5/8,66
E 1 T -1 T -2 T 2 T 1 E,0,55 7/8,67
R 0 S -1 S -2 S -2 S -2 S -1 S -2 H,2,56 1/8,65
E 4 E -2 S -2 S -1 S -2 S 2 E,0,59 5/8,69
E 2 E,3,60 1/8,47
E 2 S -2 S -2 E,3,60 5/8,50
E. -2 S,0,61 11/16,65
S 2 S,0,61 13/16,64
S 2 S,0,61 15/16,67
E -2 E,0,62 3/8,67
E 1 S -1 S -2 S,0,62 5/8,70
S -2 S,0,62 13/16,65
S -2 S,0,62 15/16,62
E 11 E,3,63 5/8,59
R 0 S 1 S 2 S -2 Q,2,63 13/16,59
E. 2 S,0,65 3/16,69
S -2 S -1 S -2 S 2 E,0,65 5/16,65
E -2 E,0,65 5/8,62
