ornament,voice,bar,pitch
E -1 S 1 S 2 S -2 S -1 S -2 S 2 Q,3,63 5/8,50
E -1 S 1 S 2 S -2 S 2 T -2 T -1 T -2 T 2 E,2,64 5/8,62
E -2 S 2 S 1 S,2,65 1/8,60
R 0 S -2 S -2 S -1 Q,1,65 5/16,62
E. 2 S -2 S 2 S 1 S 2 S 2 E,3,66 3/16,45
E -4 E 2 S 2 S 1 S 2 S -2 E,2,66 5/8,53
E -2 S -2 S -1 S 1 S 2 S 2 S 1 E,3,67 1/8,48
E -1 S 1 S 2 S -2 S 2 T -2 T -1 T 1 T 2 E,2,67 5/8,57
E -3 E 1 E -3 S 3 S -1 E.,2,68 1/8,57
E. -2 S 2 S -2 S -2 S -1 S 1 E.,3,68 11/16,48
E. 2 S -2 S 2 S 1 T 2 T 2 T 1 T -1 Q,1,69 3/16,57
E. 2 S 2 S -2 S -2 S -1 S 1 E,1,71 3/16,60
E 2 S 1 S 2 S 2 S 2 S 2 S 1 E.,2,71 5/8,57
E. -5 S 2 S 2 S 1 S 2 S -2 Q,2,72 3/16,62
R 0 E,0,74 7/8,74
E -2 S 2 S 1 E,2,75 1/8,62
E 1 T -1 T -2 T 2 T 1 Q,0,75 3/8,70
E -2 S 2 S 2 E,0,75 7/8,70
E -2 S -2 S 2 S,0,76 1/8,72
S -2 S -1 S -2 S 2 E,0,76 5/16,70
E -2 E,0,76 5/8,67
E 4 E,0,76 7/8,69
E. -1 S -2 S 2 S 1 S,2,77 3/16,57
S 2 S,2,77 7/16,60
E -2 E,0,79 1/8,67
E -1 S -2 S 3 E,0,79 5/8,66
E -1 E,0,79 7/8,66
E -3 S 1 S 2 S,0,80 1/8,64
S 2 S 1 S 2 S 2 E.,0,80 5/16,69
E. -7 S 3 E 2 E 2 Q,0,80 11/16,67
E 1 E,0,81 7/8,70
E -2 E,0,82 1/8,67
E 2 S -2 S 2 E,2,82 3/8,62
E -1 S -2 S 2 E,0,82 5/8,66
E 1 T -1 T -2 T 2 T 1 Q,0,82 7/8,67
E. -1 S 1 S -1 S 1 T -1 T 1 T 2 T -2 Q,1,83 11/16,54
E -1 S 1 S 2 Q,2,84 7/8,57
E -1 S -2 S 2 S 1 S 2 S 2 S 1 Q,0,86 1/8,64
E -2 S -1 S -2 S,1,87 5/8,65
S 2 S 1 S 2 S -2 E.,1,87 13/16,64
E. -1 S,1,88 3/16,64
S -2 S -2 S -1 S 1 Q,1,88 5/16,60
E 2 T -2 T -2 T 2 T -2 Q,3,89 7/8,57
E 2 T -2 T -2 T 2 T 2 Q,2,90 5/8,62
E 1 E,2,92 1/8,58
E -1 E,2,92 3/8,57
E -1 S 1 S 2 E,2,93 3/8,52
E -2 S 2 S 2 Q,2,93 5/8,53
S -1 S 1 T -1 T 1 T 2 T -2 E -1 E,2,94 1/16,57
E 2 S -2 S -1 E,2,94 5/8,57
E 1 S -1 S 1 Q,2,94 7/8,55
S 2 S 1 S 2 S -2 S,2,95 5/16,57
S 2 S 2 S -4 S 2 S,2,95 9/16,60
S -3 S 1 S 2 S 2 E,2,95 13/16,57
E -1 S 3 S -2 E -1 E,0,96 1/8,69
E 2 T -2 T -1 T 1 T -1 E,2,96 5/8,60
E 1 T -1 T -2 T 2 T 1 E.,0,96 7/8,67
E. 5 S 2 S -2 S -2 S -1 S -2 Q,2,97 3/16,60
E -2 E,1,98 5/8,60
E 2 E,1,98 7/8,64
E -1 S 1 S 2 S -2 S -1 S -2 S 2 Q,3,99 5/8,50
E 2 T -2 T -1 T 1 T 2 E,1,100 5/8,60
E 2 S -2 S 2 Q,1,100 7/8,62
E. -1 S 1 E 2 E,1,101 11/16,54
