ornament,voice,bar,pitch
E -1 S -2 S 3 S,0,35 5/8,57
S -1 S 1 T -1 T -2 T 2 T 1 Q,0,35 13/16,57
R 0 E,3,37 7/8,46
E -1 S -2 S 2 E,1,38 1/8,57
E -2 S 2 S 1 Q,1,38 3/8,55
E. 1 S 2 S -3 S 1 S 2 S -2 Q,3,39 11/16,44
E -1 S -2 S 3 S,0,40 5/8,62
S -1 S 1 T -1 T -2 T 2 T 1 E,0,40 13/16,62
E -10 S 2 S 2 S 1 S 2 S 2 S 1 Q,0,41 1/8,53
E 1 E,3,42 1/8,51
E -1 E,3,42 3/8,50
S -2 S,0,43 3/16,63
S -2 S,0,43 5/16,63
S -2 S,0,43 7/16,60
E 1 E,2,45 5/8,51
E -1 E,2,45 7/8,50
E 0 S 2 S 2 S,2,47 1/8,51
R 0 S 2 S 2 S -2 Q,0,47 5/16,56
E 2 E,0,48 1/8,58
E -2 E,0,48 3/8,58
E 2 T -2 T -2 T 2 T 2 S,2,48 5/8,50
S -4 S 2 S 2 S 1 E,2,48 13/16,46
E -2 E -2 E 4 E -2 Q.,1,49 1/8,46
Q. -1 E,2,49 7/8,50
E -2 S 2 S 2 S -2 S 2 T -2 T -2 T 2 T -2 Q,2,50 1/8,46
R 0 E,1,51 3/8,58
R 0 E,2,52 1/8,46
E. -1 S -2 S 2 S 1 S,1,53 3/16,50
S 2 S,1,53 7/16,53
E. -2 S 2 E 2 E,2,53 11/16,44
S -1 S 1 T -1 T 1 T 2 T -2 E,2,54 13/16,50
E -1 E,3,55 5/8,45
S -1 S -2 S 2 S 1 E.,3,55 13/16,45
E. 2 S 1 E -1 E -2 E.,0,56 3/16,60
E. 7 S -1 S -2 S -2 S -1 S 1 E,1,56 11/16,56
E -1 E 1 S -1 S 1 S 2 S 2 Q,3,57 1/8,38
E. -1 S -2 S 2 S 1 S,0,58 3/16,55
R 0 S,1,58 7/16,58
S -2 S,1,59 11/16,55
E -2 S 2 S 1 E,1,59 7/8,55
E -1 S -2 S -2 S -2 S -1 S -2 S -2 Q,1,60 1/8,57
Q -3 S 1 S 2 S 2 S -2 Q,2,60 3/4,50
E. -1 S,0,66 3/16,60
S -1 S -2 S -2 S 2 E,0,66 5/16,60
E 3 E,0,66 5/8,61
E -2 E,0,66 7/8,58
E 4 E,1,67 1/8,53
E -1 S -2 S 3 S,0,67 5/8,57
S -1 S 1 T -1 T -2 T 2 T 1 E,0,67 13/16,57
E -2 S 2 S 2 S -2 S -2 S -1 S 1 E.,2,68 1/8,53
E. -2 S 2 S 2 S 1 S 2 S 2 E,1,68 11/16,44
E -4 E 4 E 2 E,2,69 1/8,37
E -1 E -2 S 2 S 1 S,1,70 1/8,50
S 2 S,1,70 7/16,53
E. -2 S 2 E 2 E,2,70 11/16,44
S -1 S 1 T -1 T 1 T 2 T -2 E,2,71 13/16,50
E -1 E,3,72 5/8,45
S -1 S -2 S 2 S 1 E.,3,72 13/16,45
E. 2 S 1 E -1 E -2 E.,0,73 3/16,60
E. 2 S -2 S -2 S -1 S -2 S 2 E,0,73 11/16,60
E -1 E 1 E 2 E 2 Q,3,74 1/8,38
E. -1 S -2 S 2 S 1 S,0,75 3/16,55
R 0 S,1,75 7/16,58
E -2 E,1,75 7/8,58
S -2 S,1,76 11/16,55
S -1 S 1 T -1 T -2 T 2 T 1 E.,1,76 13/16,57
E. -1 S 1 S 2 S 2 S 1 S 2 E.,0,77 3/16,57
