ornament,voice,bar,pitch
S -1 S 1 T -1 T -2 T 2 T 1 Q,0,50 1/16,66
S -2 S 2 S 1 S -1 E,0,50 9/16,62
E 2 T -2 T -1 T 1 T 2 Q,1,51 1/8,60
R 0 E,0,51 7/8,57
E 5 T -2 T -1 T 1 T -1 Q,1,52 1/8,60
S -2 S 2 S 1 S -1 E,0,54 13/16,67
R 0 T -2 T 3 S,0,55 11/16,66
S -1 S 1 T -1 T -2 T 2 T 1 S,0,55 13/16,66
R 0 S 1 S 2 S 1 S -1 S 1 S 2 S 2 S,2,56 1/16,54
S -7 S 2 S 1 S -1 S,0,56 9/16,60
S 5 S -2 S -1 S -2 Q,2,56 13/16,60
R 0 T 1 T -1 E,0,59 3/16,64
S -1 S -2 S 2 S 1 S -3 S 2 S 1 S -1 Q,0,59 9/16,64
S -1 S,0,62 1/16,64
S 2 S,0,62 3/16,67
S -2 S 2 S 1 S -1 E.,0,62 5/16,67
E. -2 T 2 T -2 E,0,62 11/16,67
S -2 S 2 S 2 S 1 S -1 S 1 S 2 S 2 S,2,66 9/16,53
S -1 S 1 S 2 S -2 E -1 E -2 E,0,67 1/16,64
R 0 E,2,67 5/8,60
S -1 S 1 S 2 S -2 E,2,69 1/16,59
E -2 E,2,69 3/8,58
E -2 E,2,69 5/8,55
E 2 E,2,70 1/8,62
E -2 E 2 E 1 E,3,70 5/8,43
R 0 S -2 S 4 S,1,72 5/8,55
S -2 S 2 T -2 T -2 T 2 T 2 Q,1,72 13/16,55
S -1 S 1 S 2 S -2 E.,1,73 13/16,59
E. -2 T 2 T -2 E,1,74 3/16,58
E -2 E,1,74 5/8,53
S -1 S 1 S 2 S -2 E.,1,75 13/16,57
E. -1 T 1 T -1 E,1,76 3/16,57
E -2 E 2 E 1 E 2 E,2,76 5/8,55
E 2 E,2,77 1/8,62
S -1 S 1 S 2 S -2 E -1 E,2,77 13/16,57
R 0 S,2,78 11/16,54
S -1 S 1 T -1 T -2 T 2 T 1 S,2,78 13/16,54
R 0 S 1 S 2 S 1 S -1 S 1 S 2 S 2 S,0,79 1/16,54
S 5 S 2 S 1 S -1 S -2 S -2 S -1 S -2 S,2,79 9/16,60
R 0 S 2 S 2 S 1 S -1 S 1 S 2 S 2 Q,1,80 1/16,53
S -5 S 1 S 2 S 2 S,1,83 1/16,57
S -2 S -2 S -1 S 1 S,1,83 5/16,60
S -5 S 1 S 2 S 2 S,2,83 9/16,57
S -2 S,2,83 13/16,60
S 2 S,2,83 15/16,64
E. 2 S -2 E -1 E,3,84 3/16,55
E -2 E,3,84 5/8,48
S -1 S 1 S 2 S 2 S -2 S -2 S,1,85 1/16,57
S 2 S,1,85 7/16,60
E. 2 T -2 T 3 S,1,85 11/16,64
S -1 S 1 T -1 T -2 T 2 T 1 E.,1,85 13/16,64
E. 2 S -2 E -1 E -2 E,3,86 3/16,55
E -2 E,3,86 5/8,48
S -1 S 1 S 2 S -2 E -1 E 1 E,0,90 1/16,64
E -3 E,0,90 5/8,62
S -5 S 1 S 2 S 2 S -2 S 2 S 2 S 1 S,0,92 1/16,57
S -1 S -2 S 2 S 1 S -3 S 2 S 1 S 2 E.,0,92 9/16,64
E. -1 T 1 T 2 S -2 S 2 T -2 T -1 T 1 T 2 E.,2,93 3/16,57
E. -2 T 2 T 2 S -2 S 2 T -2 T -2 T 2 T 2 E.,0,93 11/16,65
E. -1 T 1 T 2 S -2 S 2 T -2 T -2 T 2 T 2 S,2,94 3/16,59
S -1 S -2 S 2 S 1 S -3 S 2 S 1 S 2 S,0,94 9/16,64
S -1 S -2 S 2 S 1 S -3 S 2 S 1 S 2 S,2,95 1/16,57
S -2 S -1 S 1 S 2 S -3 S 1 S 2 S 2 Q,2,95 9/16,58
E. -2 T 2 T 1 S -1 S 1 T -1 T -2 T 2 T 1 S,0,97 3/16,67
S -1 S 1 S 2 S -2 E,0,97 9/16,69
E. -3 T -2 T 3 S -1 S 1 T -1 T -2 T 2 T 1 S,0,98 11/16,61
S 11 S 1 S -1 S -2 S -2 S -2 S -1 S -2 S,1,99 1/16,64
S 2 S 1 S 2 S 2 S -2 S -2 S -1 S -2 E.,1,99 9/16,57
E. -2 T 2 T 2 S -2 S 2 T -2 T -2 T 2 T 2 S,1,100 3/16,53
S -2 S 2 S 1 S -1 E -2 E -2 E.,1,100 9/16,55
E. -1 T 1 T 2 S -2 S 2 T -2 T -1 T 1 T 2 E.,1,101 3/16,52
E. -2 T 2 T 2 S -2 S 2 T -2 T -2 T 2 T 2 E.,1,101 11/16,53
E. -2 T 2 T 1 S -1 S 1 T -1 T -2 T 2 T 1 Q,2,102 3/16,50
E. -1 T 1 T -1 E,1,103 3/16,57
E 1 E,1,103 3/8,58
S -2 S 2 S 2 S -2 E -2 E,1,103 9/16,58
E -2 E,1,104 1/8,55
R 0 S 1 S -1 S 1 T -1 T -2 T 2 T 1 S,1,104 11/16,54
S 7 S 1 S 2 S 2 S -2 S -2 S -1 S 1 E.,2,105 1/16,57
E. -1 T 1 T 2 S -2 S 2 T -2 T -1 T 1 T 2 S,2,105 11/16,57
S -2 S -1 S 1 S 2 S -3 S 1 S 2 S 2 E.,2,106 1/16,58
R 0 T 2 T 1 S,0,106 11/16,67
S -1 S 1 T -1 T -2 T 2 T 1 S,0,106 13/16,69
S -3 S 2 S 1 S -1 S,0,107 1/16,67
S -2 S 2 S 1 S 2 S,0,107 5/16,67
S -2 S 2 S 2 S -2 E -2 E,0,107 9/16,70
S -2 S 2 S 1 S -3 S,0,108 1/16,67
S 6 S 2 S 1 S -10 E.,2,108 5/16,64
R 0 T -2 T 3 S -1 S 1 T -1 T -2 T 2 T 1 S,0,108 11/16,66
